id,study,type,n,r,PP,math1,math2,age,grade,sample,design
yxj32,Kleemans(2011),1,130,0.333,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.261,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.254,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.285,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.376,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.391,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.3,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.437,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.432,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.389,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.371,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.529,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.465,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.499,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.412,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.518,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.404,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.32,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.208,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.341,1,1,1,6.09,1,1,1
yxj32,Kleemans(2011),1,130,0.645,1,1,1,6.09,1,1,1
yxj33,Kleemans(2014),1,129,0.222,3,2,2,8.28,2,1,1
yxj33,Kleemans(2014),1,129,0.207,3,2,2,8.28,2,1,1
yxj33,Kleemans(2014),1,129,0.379,1,2,2,8.28,2,1,1
yxj33,Kleemans(2014),1,129,0.233,1,2,2,8.28,2,1,1
yxj34,Kleemans(2011)2,1,172,0.551,3,1,1,6.11,1,4,1
yxj34,Kleemans(2011)2,1,172,0.076,3,1,1,6.11,1,4,1
yxj34,Kleemans(2011)2,1,172,0.209,2,1,1,6.11,1,4,1
yxj34,Kleemans(2011)2,1,172,0.17,2,1,1,6.11,1,4,1
